Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,plm_rank,zon_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,Total Assists,Total Points,ixG,GF%,xGF%,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Overall Draft Position,Player ID
2019-2020,Jayce Hawryluk,OTT,F,243.0,107.0,,,266.0,61.0,377.0,161.0,132.0,318.0,269.0,26.0,,342.0,Fourth Line,26,288.43333333333,3,7,10,2.77,52.38,53.0,23,1996-01-01,CAN,CAN,71,196,2014,2,32,8477963.0
2019-2020,Jean-Gabriel Pageau,NYI,F,253.0,288.0,161.0,107.0,209.0,352.0,201.0,164.0,346.0,388.0,116.0,115.0,36.0,127.0,First Line,67,1283.5166666667,26,16,42,16.96,48.65,50.32,26,1992-11-11,CAN,CAN,71,185,2011,4,96,8476419.0
2019-2020,Jean-Gabriel Pageau,OTT,F,253.0,288.0,161.0,107.0,209.0,352.0,201.0,164.0,346.0,388.0,116.0,115.0,36.0,127.0,First Line,67,1283.5166666667,26,16,42,16.96,48.65,50.32,26,1992-11-11,CAN,CAN,71,185,2011,4,96,8476419.0
2019-2020,Jeff Carter,LAK,F,104.0,353.0,135.0,170.0,227.0,308.0,28.0,90.0,248.0,267.0,412.0,205.0,72.0,120.0,Second Line,60,1016.0833333333,17,10,27,17.2,37.10,50.97,34,1985-01-01,CAN,CAN,75,219,2003,1,11,8470604.0
2019-2020,Jeff Skinner,BUF,F,51.0,261.0,166.0,,212.0,247.0,11.0,12.0,283.0,52.0,10.0,360.0,,102.0,Second Line,59,972.56666666667,14,9,23,17.18,41.18,48.83,27,1992-05-16,CAN,CAN,71,197,2010,1,7,8475784.0
2019-2020,Jesper Boqvist,NJD,F,412.0,220.0,267.0,,415.0,335.0,252.0,334.0,417.0,266.0,135.0,145.0,,398.0,Fourth Line,35,383.23333333333,4,0,4,3.47,23.53,38.66,20,1998-10-30,SWE,SWE,72,180,2017,2,36,8480003.0
2019-2020,Jesper Bratt,NJD,F,91.0,339.0,218.0,,189.0,336.0,171.0,73.0,57.0,273.0,60.0,311.0,,179.0,Third Line,60,838.96666666667,16,16,32,8.9,50.70,50.46,21,1998-07-30,SWE,SWE,70,175,2016,6,162,8479407.0
2019-2020,Jesper Fast,NYR,F,297.0,285.0,,164.0,179.0,298.0,393.0,220.0,302.0,278.0,225.0,110.0,,260.0,Second Line,69,1145.8833333333,12,17,29,11.48,58.44,51.32,27,1991-12-02,SWE,SWE,73,191,2010,6,157,8475855.0
2019-2020,Jesperi Kotkaniemi,MTL,F,281.0,230.0,217.0,,92.0,206.0,221.0,206.0,404.0,53.0,250.0,128.0,171.0,293.0,Fourth Line,36,467.76666666667,6,2,8,5.3,38.71,44.52,19,2000-07-06,FIN,FIN,74,201,2018,1,3,8480829.0
2019-2020,Jimmy Vesey,BUF,F,267.0,267.0,,94.0,302.0,282.0,235.0,184.0,293.0,254.0,196.0,230.0,,266.0,Third Line,64,883.41666666667,9,11,20,10.55,56.90,48.57,26,1993-05-26,USA,USA,75,202,2012,3,66,8476918.0
2019-2020,Joakim Nordstrom,BOS,F,398.0,81.0,,70.0,404.0,157.0,267.0,365.0,395.0,381.0,309.0,63.0,,380.0,Fourth Line,48,580.6,4,3,7,3.97,40.00,41.49,27,1992-02-25,SWE,SWE,73,194,2010,3,90,8475807.0
2019-2020,Joakim Nygard,EDM,F,331.0,79.0,,,337.0,58.0,253.0,404.0,205.0,294.0,4.0,265.0,,371.0,Fourth Line,33,352.73333333333,3,6,9,4.43,48.15,54.47,26,1993-01-08,SWE,SWE,72,179,-,-,-,8481638.0
2019-2020,Joe Pavelski,DAL,F,198.0,58.0,86.0,160.0,50.0,104.0,225.0,203.0,289.0,169.0,89.0,236.0,46.0,103.0,Second Line,67,1134.3833333333,14,17,31,18.04,55.36,54.81,35,1984-07-11,USA,USA,71,200,2003,7,205,8470794.0
2019-2020,Joe Thornton,SJS,F,317.0,120.0,103.0,,58.0,161.0,419.0,387.0,181.0,193.0,286.0,388.0,81.0,224.0,Third Line,70,1085.0,7,24,31,7.74,42.11,50.1,40,1979-07-02,CAN,CAN,76,220,1997,1,1,8466138.0
2019-2020,Joel Armia,MTL,F,105.0,113.0,214.0,37.0,197.0,110.0,34.0,132.0,194.0,212.0,86.0,76.0,,152.0,Second Line,58,999.11666666667,16,14,30,16.4,50.00,51.58,26,1993-05-31,FIN,FIN,75,216,2011,1,16,8476469.0
2019-2020,Joel Eriksson Ek,MIN,F,202.0,42.0,,56.0,307.0,15.0,127.0,274.0,86.0,300.0,147.0,102.0,133.0,231.0,Second Line,62,974.46666666667,8,21,29,8.69,56.16,54.37,22,1997-01-29,SWE,SWE,75,207,2015,1,20,8478493.0
2019-2020,Joel Farabee,PHI,F,258.0,219.0,257.0,,351.0,138.0,231.0,248.0,114.0,116.0,335.0,256.0,,257.0,Third Line,52,733.48333333333,8,13,21,10.56,52.73,47.34,19,2000-02-25,USA,USA,72,183,2018,1,14,8480797.0
2019-2020,Joel Kellman,SJS,F,380.0,19.0,,62.0,403.0,11.0,368.0,333.0,305.0,261.0,195.0,185.0,141.0,373.0,Fourth Line,31,358.95,3,4,7,2.32,46.67,50.27,25,1994-05-25,SWE,SWE,71,192,-,-,-,8481516.0
2019-2020,Johan Larsson,BUF,F,403.0,57.0,,145.0,362.0,20.0,409.0,393.0,358.0,404.0,336.0,131.0,67.0,365.0,Third Line,62,923.73333333333,6,12,18,6.56,54.55,51.27,27,1992-07-25,SWE,SWE,71,206,2010,2,56,8475728.0
2019-2020,John Hayden,NJD,F,413.0,71.0,,,413.0,287.0,301.0,372.0,413.0,368.0,407.0,18.0,,412.0,Fourth Line,43,417.76666666667,3,1,4,2.63,45.83,36.7,24,1995-02-14,USA,USA,75,223,2013,3,74,8477401.0
2019-2020,John Tavares,TOR,F,26.0,382.0,12.0,,19.0,358.0,39.0,28.0,64.0,181.0,104.0,361.0,35.0,17.0,First Line,63,1231.6166666667,26,34,60,22.45,45.45,52.36,28,1990-09-20,CAN,CAN,73,216,2009,1,1,8475166.0
2019-2020,Johnny Gaudreau,CGY,F,47.0,406.0,49.0,,102.0,277.0,67.0,113.0,34.0,65.0,32.0,419.0,,36.0,First Line,70,1315.3,18,40,58,18.96,48.78,49.56,26,1993-08-13,USA,USA,69,165,2011,4,104,8476346.0
2019-2020,Jonathan Drouin,MTL,F,158.0,319.0,197.0,,117.0,261.0,223.0,107.0,230.0,182.0,240.0,244.0,,156.0,Second Line,27,423.93333333333,7,8,15,4.79,44.83,53.06,24,1995-03-28,CAN,CAN,71,198,2013,1,3,8477494.0
2019-2020,Jonathan Huberdeau,FLA,F,52.0,389.0,28.0,,137.0,313.0,173.0,94.0,16.0,107.0,119.0,309.0,,27.0,First Line,69,1295.2166666667,23,55,78,16.07,54.39,49.18,26,1993-06-04,CAN,CAN,73,200,2011,1,3,8476456.0
2019-2020,Jonathan Marchessault,VGK,F,28.0,332.0,15.0,,35.0,214.0,14.0,89.0,51.0,173.0,233.0,182.0,,44.0,Second Line,66,1140.55,22,25,47,22.4,49.37,55.31,28,1990-12-27,CAN,CAN,69,183,-,-,-,8476539.0
2019-2020,Jonathan Toews,CHI,F,64.0,394.0,150.0,150.0,33.0,415.0,162.0,139.0,38.0,61.0,318.0,324.0,5.0,48.0,First Line,70,1384.3833333333,18,42,60,19.43,50.00,46.46,31,1988-04-29,CAN,CAN,74,201,2006,1,3,8473604.0
2019-2020,Joonas Donskoi,COL,F,164.0,226.0,219.0,,108.0,292.0,276.0,153.0,140.0,161.0,108.0,365.0,,188.0,Second Line,65,1056.3666666667,16,17,33,14.41,60.00,45.85,27,1992-04-13,FIN,FIN,72,185,2010,4,99,8475820.0
2019-2020,Jordan Eberle,NYI,F,93.0,256.0,109.0,,14.0,332.0,165.0,99.0,219.0,215.0,103.0,336.0,,112.0,Second Line,58,1033.0833333333,16,24,40,16.32,52.86,54.58,29,1990-05-15,CAN,CAN,71,190,2008,1,22,8474586.0
2019-2020,Jordan Greenway,MIN,F,209.0,13.0,,8.0,224.0,12.0,300.0,281.0,58.0,279.0,354.0,149.0,,264.0,Third Line,67,948.81666666667,8,20,28,7.21,54.41,55.9,22,1997-02-16,USA,USA,78,231,2015,2,50,8478413.0
2019-2020,Jordan Kyrou,STL,F,163.0,65.0,,,118.0,97.0,119.0,127.0,270.0,23.0,278.0,380.0,,317.0,Fourth Line,28,304.08333333333,4,5,9,3.13,51.85,52.68,21,1998-05-05,CAN,CAN,73,196,2016,2,35,8479385.0
2019-2020,Jordan Martinook,CAR,F,217.0,73.0,,10.0,103.0,99.0,240.0,351.0,133.0,88.0,363.0,69.0,,333.0,Fourth Line,45,506.68333333333,2,11,13,4.98,42.86,51.53,27,1992-07-25,CAN,CAN,72,196,2012,2,58,8476921.0
2019-2020,Jordan Staal,CAR,F,95.0,112.0,196.0,87.0,6.0,43.0,156.0,244.0,170.0,307.0,340.0,72.0,16.0,184.0,Second Line,68,1190.4666666667,8,19,27,15.68,50.00,57.95,30,1988-09-10,CAN,CAN,76,220,2006,1,2,8473533.0
2019-2020,Jordan Weal,MTL,F,319.0,30.0,134.0,,123.0,21.0,294.0,326.0,396.0,238.0,319.0,300.0,80.0,284.0,Third Line,49,667.05,8,7,15,9.03,42.11,53.54,27,1992-04-15,CAN,CAN,70,181,2010,3,70,8475738.0
2019-2020,Josh Anderson,CBJ,F,192.0,215.0,261.0,47.0,153.0,181.0,23.0,255.0,371.0,96.0,292.0,47.0,,187.0,Second Line,26,417.53333333333,1,3,4,5.97,40.00,55.03,25,1994-05-07,CAN,CAN,75,218,2012,4,95,8476981.0
2019-2020,Josh Archibald,EDM,F,363.0,221.0,,101.0,399.0,348.0,346.0,230.0,348.0,330.0,134.0,30.0,,301.0,Fourth Line,62,820.35,12,9,21,8.68,34.55,42.86,26,1992-10-06,CAN,CAN,70,176,2011,6,174,8476326.0
2019-2020,Josh Bailey,NYI,F,252.0,385.0,145.0,144.0,171.0,372.0,397.0,290.0,85.0,154.0,206.0,394.0,82.0,153.0,Second Line,68,1149.1,14,29,43,10.4,41.56,47.93,29,1989-10-02,CAN,CAN,73,200,2008,1,9,8474573.0
2019-2020,Josh Leivo,VAN,F,96.0,284.0,201.0,,110.0,233.0,89.0,78.0,198.0,137.0,19.0,319.0,,197.0,Third Line,36,540.41666666667,7,12,19,7.64,53.85,50.06,26,1993-05-26,CAN,CAN,74,192,2011,3,86,8476410.0
2019-2020,Jujhar Khaira,EDM,F,390.0,350.0,,41.0,405.0,256.0,363.0,364.0,337.0,365.0,331.0,40.0,,379.0,Fourth Line,64,802.11666666667,6,4,10,7.31,30.61,41.64,25,1994-08-13,CAN,CAN,76,212,2012,3,63,8476915.0
2019-2020,Justin Abdelkader,DET,F,416.0,346.0,,121.0,400.0,299.0,387.0,416.0,390.0,285.0,327.0,36.0,,399.0,Fourth Line,49,565.15,0,3,3,3.87,24.00,42.1,32,1987-02-25,USA,USA,74,213,2005,2,42,8471716.0
2019-2020,Justin Dowling,DAL,F,270.0,38.0,262.0,,313.0,82.0,339.0,250.0,172.0,315.0,415.0,176.0,137.0,390.0,Fourth Line,29,317.68333333333,3,3,6,2.53,47.62,49.33,28,1990-10-01,CAN,CAN,70,180,-,-,-,8475413.0
2019-2020,Justin Williams,CAR,F,42.0,311.0,4.0,,52.0,93.0,25.0,29.0,277.0,86.0,115.0,203.0,,91.0,Third Line,20,272.31666666667,8,3,11,7.2,56.52,51.39,37,1981-10-04,CAN,CAN,73,184,2000,1,28,8468508.0
2019-2020,Kaapo Kakko,NYR,F,386.0,416.0,64.0,,330.0,418.0,247.0,325.0,414.0,248.0,63.0,389.0,,274.0,Third Line,66,942.4,10,13,23,9.07,28.57,39.36,18,2001-02-13,FIN,FIN,74,206,2019,1,2,8481554.0
2019-2020,Kailer Yamamoto,EDM,F,20.0,203.0,53.0,,53.0,322.0,355.0,49.0,1.0,230.0,95.0,148.0,,71.0,Second Line,27,469.4,11,15,26,7.88,68.18,52.23,20,1998-09-29,USA,USA,68,153,2017,1,22,8479977.0
2019-2020,Karson Kuhlman,BOS,F,257.0,43.0,,,283.0,1.0,53.0,418.0,98.0,5.0,183.0,86.0,,326.0,Fourth Line,25,313.31666666667,1,5,6,3.87,66.67,57.62,23,1995-09-26,USA,USA,70,184,-,-,-,8480901.0
2019-2020,Kasperi Kapanen,TOR,F,168.0,368.0,252.0,60.0,90.0,318.0,108.0,156.0,280.0,102.0,100.0,173.0,,190.0,Second Line,69,1089.5166666667,13,23,36,11.09,45.95,47.05,23,1996-07-23,FIN,FIN,73,194,2014,1,22,8477953.0
2019-2020,Kevin Fiala,MIN,F,40.0,306.0,73.0,,128.0,204.0,64.0,83.0,23.0,42.0,265.0,373.0,,94.0,Third Line,64,985.65,23,31,54,14.21,53.95,50.27,23,1996-07-22,CHE,CHE,70,204,2014,1,11,8477942.0
2019-2020,Kevin Hayes,PHI,F,153.0,274.0,110.0,92.0,228.0,224.0,118.0,138.0,159.0,233.0,281.0,212.0,68.0,109.0,Second Line,69,1223.3,23,18,41,18.26,43.04,49.44,27,1992-05-08,USA,USA,77,216,2010,1,24,8475763.0
2019-2020,Kevin Labanc,SJS,F,102.0,289.0,71.0,,31.0,241.0,106.0,147.0,207.0,104.0,287.0,270.0,,164.0,Second Line,70,1124.9,14,19,33,17.11,38.55,53.62,23,1995-12-12,USA,USA,71,185,2014,6,171,8478099.0
2019-2020,Kevin Rooney,NJD,F,406.0,91.0,,20.0,408.0,146.0,332.0,375.0,401.0,392.0,37.0,66.0,120.0,363.0,Fourth Line,49,574.8,4,5,9,5.91,56.52,44.46,26,1993-05-21,USA,USA,74,190,-,-,-,8479291.0
2019-2020,Kevin Stenlund,CBJ,F,365.0,24.0,82.0,,354.0,53.0,227.0,341.0,399.0,245.0,42.0,298.0,159.0,217.0,Third Line,32,447.41666666667,6,4,10,4.89,54.55,49.22,22,1996-09-20,SWE,SWE,77,215,2015,2,58,8478831.0
2019-2020,Kirby Dach,CHI,F,312.0,205.0,241.0,,280.0,333.0,215.0,224.0,389.0,121.0,174.0,335.0,162.0,275.0,Third Line,64,913.0,8,15,23,11.64,53.23,47.27,18,2001-01-21,CAN,CAN,76,212,2019,1,3,8481523.0
2019-2020,Kyle Clifford,LAK,F,113.0,277.0,,,136.0,171.0,47.0,210.0,150.0,236.0,395.0,35.0,,335.0,Fourth Line,69,772.2,7,10,17,10.39,43.33,53.5,28,1991-01-13,CAN,CAN,74,217,2009,2,35,8475160.0
2019-2020,Kyle Clifford,TOR,F,113.0,277.0,,,136.0,171.0,47.0,210.0,150.0,236.0,395.0,35.0,,335.0,Fourth Line,69,772.2,7,10,17,10.39,43.33,53.5,28,1991-01-13,CAN,CAN,74,217,2009,2,35,8475160.0
2019-2020,Kyle Connor,WPG,F,80.0,405.0,51.0,177.0,222.0,409.0,74.0,37.0,129.0,76.0,268.0,414.0,,25.0,First Line,71,1497.2166666667,38,35,73,29.17,49.52,42.4,22,1996-12-09,USA,USA,74,179,2015,1,17,8478398.0
2019-2020,Kyle Okposo,BUF,F,268.0,102.0,,,389.0,30.0,147.0,219.0,180.0,350.0,311.0,180.0,,240.0,Fourth Line,52,668.06666666667,9,10,19,7.48,50.00,51.5,31,1988-04-16,USA,USA,72,218,2006,1,7,8473449.0
2019-2020,Kyle Palmieri,NJD,F,177.0,173.0,42.0,,213.0,221.0,140.0,71.0,319.0,128.0,213.0,186.0,,66.0,Second Line,65,1112.1833333333,25,20,45,19.12,53.62,51.08,28,1991-02-01,USA,USA,71,198,2009,1,26,8475151.0
2019-2020,Kyle Turris,NSH,F,231.0,370.0,182.0,,101.0,343.0,376.0,369.0,53.0,48.0,366.0,376.0,104.0,216.0,Third Line,62,956.3,9,22,31,8.23,44.29,48.06,30,1989-08-14,CAN,CAN,73,190,2007,1,3,8474068.0
2019-2020,Lars Eller,WSH,F,69.0,307.0,245.0,46.0,81.0,259.0,68.0,174.0,44.0,309.0,304.0,232.0,66.0,155.0,Second Line,69,1174.0333333333,16,23,39,19.21,50.68,52.55,30,1989-05-08,DNK,DNK,74,205,2007,1,13,8474189.0
2019-2020,Lawson Crouse,ARI,F,249.0,336.0,,77.0,342.0,354.0,159.0,192.0,256.0,334.0,94.0,8.0,,250.0,Third Line,66,896.38333333333,15,10,25,12.38,43.86,45.43,22,1997-06-23,CAN,CAN,76,215,2015,1,11,8478474.0
2019-2020,Leo Komarov,NYI,F,399.0,214.0,,102.0,350.0,255.0,404.0,410.0,311.0,361.0,288.0,34.0,,352.0,Fourth Line,48,604.63333333333,4,10,14,5.36,47.37,46.51,32,1987-01-23,EST,FIN,71,205,2006,6,180,8473463.0
2019-2020,Leon Draisaitl,EDM,F,44.0,415.0,3.0,136.0,96.0,394.0,233.0,32.0,25.0,167.0,137.0,378.0,55.0,6.0,First Line,71,1605.4,43,67,110,29.65,52.67,49.04,23,1995-10-27,DEU,DEU,74,208,2014,1,3,8477934.0
2019-2020,Logan Brown,OTT,F,278.0,204.0,43.0,,32.0,197.0,413.0,419.0,39.0,10.0,64.0,264.0,175.0,339.0,Fourth Line,23,270.41666666667,1,7,8,2.46,55.00,55.73,21,1998-03-05,USA,USA,78,218,2016,1,11,8479366.0
2019-2020,Logan Couture,SJS,F,116.0,132.0,35.0,81.0,116.0,303.0,290.0,82.0,82.0,213.0,158.0,249.0,148.0,52.0,First Line,52,963.43333333333,16,23,39,13.23,50.00,47.34,30,1989-03-28,CAN,CAN,73,206,2007,1,9,8474053.0
2019-2020,Loui Eriksson,VAN,F,329.0,253.0,,58.0,199.0,305.0,308.0,328.0,368.0,378.0,378.0,413.0,,325.0,Fourth Line,49,606.23333333333,6,7,13,7.45,42.22,49.92,34,1985-07-17,SWE,SWE,74,179,2003,2,33,8470626.0
2019-2020,Lucas Wallmark,CAR,F,247.0,119.0,168.0,88.0,170.0,86.0,269.0,208.0,300.0,244.0,313.0,198.0,60.0,276.0,Fourth Line,67,855.76666666667,12,13,25,9.55,48.08,50.24,23,1995-09-05,SWE,SWE,72,178,2014,4,97,8478027.0
2019-2020,Lucas Wallmark,FLA,F,247.0,119.0,168.0,88.0,170.0,86.0,269.0,208.0,300.0,244.0,313.0,198.0,60.0,276.0,Fourth Line,67,855.76666666667,12,13,25,9.55,48.08,50.24,23,1995-09-05,SWE,SWE,72,178,2014,4,97,8478027.0
2019-2020,Luke Glendening,DET,F,414.0,117.0,,168.0,417.0,334.0,366.0,382.0,403.0,409.0,267.0,52.0,4.0,294.0,Third Line,60,921.26666666667,6,3,9,8.39,17.31,38.91,30,1989-04-28,USA,USA,71,190,-,-,-,8476822.0
2019-2020,Luke Kunin,MIN,F,138.0,128.0,263.0,167.0,318.0,195.0,98.0,115.0,119.0,288.0,338.0,150.0,136.0,171.0,Third Line,63,974.33333333333,15,16,31,13.96,47.83,50.07,21,1997-12-04,USA,USA,72,197,2016,1,15,8479316.0
2019-2020,Mackenzie MacEachern,STL,F,190.0,100.0,,,250.0,73.0,105.0,68.0,365.0,349.0,159.0,51.0,,385.0,Fringe,51,456.65,7,3,10,5.91,53.33,50.53,25,1994-03-09,USA,USA,74,193,2012,3,67,8476907.0
2019-2020,Marcus Foligno,MIN,F,254.0,2.0,,50.0,325.0,2.0,292.0,158.0,210.0,325.0,308.0,22.0,,283.0,Third Line,59,860.6,11,14,25,9.12,58.93,57.19,28,1991-08-10,USA,CAN,75,226,2009,4,104,8475220.0
2019-2020,Marcus Johansson,BUF,F,306.0,282.0,254.0,,284.0,245.0,328.0,319.0,214.0,303.0,194.0,339.0,173.0,203.0,Second Line,60,1028.8333333333,9,21,30,7.92,46.88,47.74,28,1990-10-06,SWE,SWE,73,203,2009,1,24,8475149.0
2019-2020,Marcus Sorensen,SJS,F,262.0,222.0,,104.0,267.0,238.0,353.0,205.0,190.0,131.0,67.0,196.0,,348.0,Third Line,66,913.73333333333,7,11,18,10.3,40.63,45.7,27,1992-04-07,SWE,SWE,71,175,2010,4,106,8475834.0
2019-2020,Mark Jankowski,CGY,F,343.0,29.0,,85.0,282.0,116.0,373.0,231.0,362.0,263.0,382.0,371.0,108.0,362.0,Fourth Line,56,621.48333333333,5,2,7,5.34,30.30,51.39,24,1994-09-13,CAN,CAN,76,212,2012,1,21,8476873.0
2019-2020,Mark Scheifele,WPG,F,218.0,352.0,23.0,,167.0,403.0,394.0,182.0,83.0,94.0,90.0,370.0,156.0,29.0,First Line,71,1548.1166666667,29,44,73,24.56,50.76,43.89,26,1993-03-15,CAN,CAN,75,198,2011,1,7,8476460.0
2019-2020,Mark Stone,VGK,F,13.0,11.0,29.0,65.0,4.0,111.0,107.0,53.0,19.0,260.0,222.0,258.0,,30.0,First Line,65,1260.6833333333,21,42,63,18.99,57.47,61.41,27,1992-05-13,CAN,CAN,75,217,2010,6,178,8475913.0
2019-2020,Markus Granlund,EDM,F,400.0,49.0,,156.0,363.0,51.0,374.0,313.0,412.0,351.0,322.0,282.0,,388.0,Fourth Line,34,368.2,3,1,4,3.61,47.06,51.07,26,1993-04-16,FIN,FIN,72,180,2011,2,45,8476440.0
2019-2020,Martin Necas,CAR,F,245.0,295.0,130.0,,234.0,192.0,344.0,119.0,241.0,133.0,44.0,187.0,,194.0,Third Line,64,906.68333333333,16,20,36,9.16,47.46,48.01,20,1999-01-15,CZE,CZE,74,189,2017,1,12,8480039.0
2019-2020,Mason Appleton,WPG,F,353.0,258.0,,118.0,348.0,208.0,189.0,320.0,392.0,284.0,41.0,325.0,,393.0,Fourth Line,46,513.46666666667,5,3,8,5.0,35.29,46.22,23,1996-01-15,USA,USA,75,197,2015,6,168,8478891.0
2019-2020,Mathew Barzal,NYI,F,71.0,376.0,75.0,,25.0,355.0,248.0,173.0,29.0,108.0,105.0,399.0,166.0,55.0,First Line,68,1362.9166666667,19,41,60,16.97,51.58,51.39,22,1997-05-26,CAN,CAN,73,190,2015,1,16,8478445.0
2019-2020,Mathieu Joseph,TBL,F,310.0,80.0,,3.0,186.0,25.0,324.0,177.0,393.0,251.0,175.0,89.0,,382.0,Fourth Line,37,426.3,4,3,7,4.73,44.44,54.5,22,1997-02-09,CAN,CAN,73,187,2015,4,120,8478472.0
2019-2020,Mathieu Perreault,WPG,F,322.0,145.0,224.0,,263.0,212.0,259.0,252.0,376.0,348.0,263.0,103.0,,290.0,Fourth Line,49,642.25,7,8,15,6.94,39.53,43.35,31,1988-01-05,CAN,CAN,70,189,2006,6,177,8473618.0
2019-2020,Mats Zuccarello,MIN,F,212.0,70.0,220.0,,265.0,174.0,320.0,160.0,94.0,158.0,65.0,346.0,,129.0,Second Line,65,1036.0666666667,15,22,37,8.33,50.65,51.33,32,1987-09-01,NOR,NOR,68,181,-,-,-,8475692.0
2019-2020,Matt Calvert,COL,F,125.0,95.0,,100.0,104.0,108.0,157.0,163.0,116.0,364.0,215.0,91.0,,204.0,Third Line,50,704.53333333333,12,13,25,8.6,60.47,54.7,29,1989-12-24,CAN,CAN,71,186,2008,5,127,8474685.0
2019-2020,Matt Duchene,NSH,F,92.0,280.0,118.0,,83.0,274.0,229.0,137.0,50.0,29.0,12.0,342.0,26.0,100.0,Second Line,66,1114.1166666667,13,29,42,16.61,53.95,54.55,28,1991-01-16,CAN,CAN,71,195,2009,1,3,8475168.0
2019-2020,Matt Martin,NYI,F,397.0,89.0,,,401.0,50.0,349.0,337.0,383.0,386.0,283.0,2.0,,403.0,Fourth Line,55,573.28333333333,5,3,8,5.62,48.15,47.11,30,1989-05-08,CAN,CAN,75,220,2008,5,148,8474709.0
2019-2020,Matt Nieto,COL,F,271.0,152.0,,153.0,177.0,122.0,322.0,363.0,189.0,347.0,173.0,289.0,,328.0,Third Line,70,945.23333333333,8,13,21,8.42,55.36,51.26,26,1992-11-05,USA,USA,71,187,2011,2,47,8476442.0
2019-2020,Matthew Highmore,CHI,F,364.0,124.0,,,398.0,155.0,311.0,380.0,284.0,313.0,30.0,135.0,,413.0,Fourth Line,36,353.26666666667,2,4,6,3.54,50.00,45.68,23,1996-02-27,CAN,CAN,71,188,-,-,-,8478146.0
2019-2020,Matthew Tkachuk,CGY,F,56.0,378.0,33.0,,40.0,194.0,93.0,102.0,67.0,265.0,46.0,118.0,,46.0,First Line,69,1263.25,23,38,61,22.35,49.47,53.22,21,1997-12-11,USA,USA,74,201,2016,1,6,8479314.0
2019-2020,Mattias Janmark,DAL,F,352.0,103.0,,91.0,198.0,47.0,340.0,396.0,340.0,183.0,238.0,386.0,,282.0,Third Line,62,906.43333333333,6,15,21,8.84,40.91,54.66,26,1992-12-08,SWE,SWE,73,205,2013,3,79,8477406.0
2019-2020,Max Comtois,ANA,F,359.0,419.0,227.0,,364.0,397.0,402.0,295.0,269.0,58.0,330.0,42.0,,311.0,Third Line,29,405.23333333333,5,6,11,4.71,50.00,43.65,20,1999-01-08,CAN,CAN,74,210,2017,2,50,
2019-2020,Max Domi,MTL,F,62.0,386.0,170.0,,59.0,272.0,90.0,117.0,43.0,188.0,201.0,344.0,152.0,107.0,Second Line,71,1213.9166666667,17,27,44,16.35,50.55,53.49,24,1995-03-02,CAN,CAN,70,194,2013,1,12,8477503.0
2019-2020,Max Jones,ANA,F,324.0,343.0,,,298.0,236.0,136.0,277.0,402.0,55.0,326.0,153.0,,340.0,Third Line,59,841.36666666667,8,4,12,11.58,43.24,46.47,21,1998-02-17,USA,USA,75,216,2016,1,24,8479368.0
2019-2020,Max Pacioretty,VGK,F,4.0,206.0,6.0,,9.0,92.0,2.0,21.0,59.0,235.0,310.0,142.0,,22.0,Second Line,71,1271.0,32,34,66,26.08,58.33,62.05,30,1988-11-20,USA,USA,74,217,2007,1,22,8474157.0
2019-2020,Melker Karlsson,SJS,F,404.0,36.0,,131.0,397.0,102.0,372.0,312.0,407.0,190.0,397.0,220.0,,377.0,Fourth Line,61,748.41666666667,6,6,12,6.25,43.90,43.08,29,1990-07-18,SWE,SWE,72,180,-,-,-,8477922.0
2019-2020,Michael Amadio,LAK,F,327.0,105.0,189.0,,143.0,124.0,336.0,265.0,381.0,99.0,247.0,364.0,139.0,364.0,Fourth Line,68,885.4,6,10,16,11.66,42.86,55.45,23,1996-05-13,CAN,CAN,73,204,2014,3,90,8478020.0
2019-2020,Michael Dal Colle,NYI,F,369.0,231.0,,,372.0,139.0,351.0,361.0,321.0,249.0,253.0,151.0,,389.0,Fourth Line,53,625.31666666667,4,6,10,6.15,41.03,44.59,23,1996-06-20,CAN,CAN,75,195,2014,1,5,8477936.0
2019-2020,Michael Frolik,BUF,F,266.0,236.0,,133.0,172.0,160.0,137.0,309.0,331.0,250.0,400.0,260.0,,278.0,Fourth Line,57,709.0,6,8,14,6.21,31.58,45.92,31,1988-02-17,CZE,CZE,73,186,2006,1,10,8473564.0
2019-2020,Michael Frolik,CGY,F,266.0,236.0,,133.0,172.0,160.0,137.0,309.0,331.0,250.0,400.0,260.0,,278.0,Fourth Line,57,709.0,6,8,14,6.21,31.58,45.92,31,1988-02-17,CZE,CZE,73,186,2006,1,10,8473564.0
2019-2020,Michael Grabner,ARI,F,308.0,266.0,,55.0,359.0,338.0,228.0,154.0,327.0,395.0,214.0,297.0,,299.0,Fourth Line,46,568.88333333333,8,3,11,6.22,44.12,45.14,31,1987-10-05,AUT,AUT,73,188,2006,1,14,8473546.0
2019-2020,Michael Raffl,PHI,F,340.0,172.0,,33.0,360.0,158.0,354.0,323.0,244.0,277.0,260.0,133.0,91.0,337.0,Fourth Line,58,717.3,8,12,20,7.25,46.15,48.08,30,1988-12-01,AUT,AUT,73,205,-,-,-,8477290.0
