Season,Player,Team,Position,evo_rank,evd_rank,ppl_rank,pkl_rank,oio_rank,oid_rank,sht_rank,scr_rank,zon_rank,plm_rank,pen_rank,phy_rank,fof_rank,fan_rank,Role,GP,TOI,Goals,First Assists,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position
2012-2013,Lars Eller,MTL,F,145.0,132.0,,123.0,237.0,156.0,203.0,200.0,201.0,117.0,331.0,171.0,91.0,180.0,Bottom 6,46,682.16666666667,8,11,36,1989-05-08,DNK,DNK,74,205,2007,1,13,13
2012-2013,Lauri Korpikoski,PHX,F,165.0,351.0,244.0,91.0,186.0,364.0,185.0,210.0,342.0,281.0,90.0,192.0,194.0,181.0,Second Line,36,616.43333333333,6,3,39,1986-07-28,FIN,FIN,73,193,2004,1,19,19
2012-2013,Lee Stempniak,CGY,F,104.0,288.0,110.0,134.0,137.0,239.0,117.0,182.0,288.0,123.0,66.0,266.0,,118.0,Second Line,47,841.58333333333,9,14,42,1983-02-04,USA,USA,71,195,2003,5,12,148
2012-2013,Lennart Petrell,EDM,F,418.0,378.0,,103.0,428.0,416.0,433.0,348.0,345.0,334.0,361.0,71.0,,373.0,Bottom 6,35,403.58333333333,3,2,41,1984-04-13,FIN,FIN,75,215,2004,6,27,190
2012-2013,Leo Komarov,TOR,F,393.0,286.0,,109.0,350.0,320.0,369.0,372.0,408.0,418.0,207.0,19.0,,346.0,Bottom 6,42,585.3,4,1,38,1987-01-23,EST,FIN,71,205,2006,6,27,180
2012-2013,Logan Couture,SJS,F,11.0,10.0,1.0,69.0,46.0,82.0,22.0,9.0,239.0,71.0,41.0,360.0,52.0,17.0,First Line,48,868.65,21,11,36,1989-03-28,CAN,CAN,73,206,2007,1,9,9
2012-2013,Loui Eriksson,DAL,F,154.0,270.0,108.0,92.0,195.0,232.0,241.0,134.0,153.0,90.0,38.0,434.0,,75.0,First Line,48,965.75,12,10,40,1985-07-17,SWE,SWE,74,179,2003,2,3,33
2012-2013,Magnus Paajarvi,EDM,F,283.0,334.0,217.0,,369.0,291.0,121.0,246.0,257.0,303.0,105.0,358.0,,221.0,Bottom 6,42,593.46666666667,9,4,34,1991-04-12,SWE,SWE,75,206,2009,1,10,10
2012-2013,Marcel Goc,FLA,F,240.0,168.0,207.0,130.0,249.0,121.0,233.0,208.0,354.0,246.0,149.0,244.0,45.0,170.0,First Line,42,767.31666666667,9,7,42,1983-08-24,DEU,DEU,73,197,2001,1,20,20
2012-2013,Marcus Foligno,BUF,F,331.0,277.0,192.0,,166.0,303.0,381.0,359.0,250.0,170.0,372.0,84.0,,304.0,Bottom 6,47,640.48333333333,5,8,34,1991-08-10,USA,CAN,75,226,2009,4,13,104
2012-2013,Marcus Johansson,WSH,F,204.0,393.0,98.0,209.0,84.0,337.0,404.0,223.0,161.0,72.0,5.0,359.0,177.0,211.0,Second Line,34,563.91666666667,6,9,34,1990-10-06,SWE,SWE,73,203,2009,1,24,24
2012-2013,Marcus Kruger,CHI,F,303.0,75.0,253.0,104.0,103.0,99.0,406.0,354.0,428.0,295.0,369.0,411.0,122.0,296.0,Bottom 6,47,665.78333333333,4,5,35,1990-05-27,SWE,SWE,72,186,2009,5,28,149
2012-2013,Marian Gaborik,"CBJ, NYR",F,45.0,363.0,102.0,,116.0,340.0,25.0,44.0,7.0,102.0,211.0,371.0,,40.0,First Line,47,870.41666666667,12,9,43,1982-02-14,SVK,SVK,73,200,2000,1,3,3
2012-2013,Marian Hossa,CHI,F,56.0,30.0,101.0,30.0,67.0,50.0,43.0,20.0,78.0,80.0,151.0,379.0,,31.0,First Line,40,721.65,17,7,46,1979-01-12,SVK,SVK,73,207,1997,1,12,12
2012-2013,Mark Letestu,CBJ,F,180.0,149.0,55.0,158.0,263.0,123.0,171.0,111.0,304.0,210.0,199.0,295.0,50.0,169.0,Second Line,46,759.71666666667,13,8,40,1985-02-04,CAN,CAN,70,195,-,-,-,-
2012-2013,Mark Olver,COL,F,214.0,349.0,,,162.0,385.0,325.0,166.0,124.0,336.0,363.0,158.0,128.0,338.0,Bottom 6,32,289.35,4,2,37,1988-01-01,CAN,CAN,70,170,2008,5,19,140
2012-2013,Martin Erat,"NSH, WSH",F,341.0,264.0,70.0,21.0,278.0,153.0,346.0,251.0,326.0,113.0,244.0,297.0,,135.0,Second Line,45,806.46666666667,5,8,44,1981-08-29,CZE,CZE,72,196,1999,7,5,191
2012-2013,Martin Hanzal,PHX,F,171.0,335.0,104.0,183.0,70.0,335.0,140.0,202.0,133.0,184.0,274.0,78.0,78.0,114.0,First Line,39,723.08333333333,11,7,38,1987-02-20,CZE,CZE,78,230,2005,1,17,17
2012-2013,Martin Havlat,SJS,F,78.0,313.0,59.0,,58.0,199.0,90.0,194.0,188.0,30.0,307.0,427.0,,111.0,Second Line,40,633.73333333333,8,7,44,1981-04-19,CZE,CZE,74,210,1999,1,26,26
2012-2013,Martin St. Louis,TBL,F,76.0,281.0,132.0,168.0,194.0,281.0,225.0,86.0,89.0,21.0,15.0,418.0,,12.0,First Line,48,1055.2,17,17,50,1975-06-18,CAN,CAN,68,180,-,-,-,-
2012-2013,Marty Reasoner,NYI,F,384.0,182.0,,68.0,315.0,270.0,318.0,428.0,338.0,365.0,182.0,273.0,36.0,358.0,Bottom 6,31,348.0,0,2,48,1977-02-26,USA,USA,73,197,1996,1,14,14
2012-2013,Mason Raymond,VAN,F,112.0,410.0,111.0,146.0,134.0,366.0,128.0,163.0,18.0,164.0,100.0,374.0,,182.0,Second Line,46,727.93333333333,10,9,39,1985-09-17,CAN,CAN,73,179,2005,2,21,51
2012-2013,Mathieu Perreault,WSH,F,70.0,133.0,205.0,,49.0,150.0,307.0,65.0,155.0,49.0,212.0,271.0,63.0,253.0,Bottom 6,39,455.03333333333,6,10,37,1988-01-05,CAN,CAN,70,189,2006,6,24,177
2012-2013,Mats Zuccarello,NYR,F,86.0,8.0,252.0,,2.0,62.0,220.0,254.0,46.0,62.0,294.0,178.0,,156.0,Second Line,15,246.36666666667,3,4,37,1987-09-01,NOR,NOR,68,181,-,-,-,-
2012-2013,Matt Beleskey,ANA,F,270.0,385.0,,,351.0,388.0,190.0,230.0,66.0,259.0,368.0,59.0,,295.0,Bottom 6,42,504.68333333333,8,4,37,1988-06-07,CAN,CAN,72,207,2006,4,19,112
2012-2013,Matt Calvert,CBJ,F,130.0,103.0,,155.0,220.0,101.0,280.0,41.0,260.0,223.0,73.0,175.0,,237.0,Bottom 6,42,595.53333333333,9,5,35,1989-12-24,CAN,CAN,71,186,2008,5,6,127
2012-2013,Matt Cooke,PIT,F,181.0,218.0,255.0,25.0,238.0,212.0,308.0,175.0,305.0,236.0,204.0,94.0,,197.0,Bottom 6,48,706.21666666667,8,8,46,1978-09-07,CAN,CAN,71,216,1997,6,10,144
2012-2013,Matt Cullen,MIN,F,96.0,230.0,141.0,53.0,226.0,149.0,198.0,276.0,391.0,31.0,117.0,383.0,29.0,134.0,Second Line,42,667.43333333333,7,15,48,1976-11-02,USA,USA,73,202,1996,2,9,35
2012-2013,Matt D'Agostini,"NJD, STL",F,317.0,20.0,228.0,,231.0,19.0,206.0,228.0,85.0,296.0,63.0,269.0,,268.0,Bottom 6,29,357.13333333333,3,2,38,1986-10-23,CAN,CAN,72,198,2005,6,28,190
2012-2013,Matt Duchene,COL,F,55.0,253.0,77.0,179.0,53.0,381.0,114.0,69.0,97.0,64.0,13.0,313.0,38.0,45.0,First Line,47,983.26666666667,17,19,34,1991-01-16,CAN,CAN,71,195,2009,1,3,3
2012-2013,Matt Fraser,DAL,F,356.0,27.0,,,412.0,94.0,230.0,367.0,237.0,299.0,45.0,214.0,,308.0,Bottom 6,12,141.5,1,1,35,1990-05-20,CAN,CAN,75,188,-,-,-,-
2012-2013,Matt Frattin,TOR,F,155.0,354.0,,,310.0,333.0,155.0,93.0,281.0,274.0,305.0,114.0,,230.0,Bottom 6,25,330.65,7,2,37,1988-01-03,CAN,CAN,72,205,2007,4,8,99
2012-2013,Matt Halischuk,NSH,F,138.0,144.0,,204.0,418.0,180.0,226.0,127.0,187.0,128.0,245.0,274.0,,260.0,Bottom 6,36,430.21666666667,5,6,37,1988-06-01,CAN,CAN,72,180,2007,4,26,117
2012-2013,Matt Hendricks,WSH,F,342.0,59.0,,73.0,316.0,109.0,268.0,341.0,238.0,395.0,247.0,52.0,149.0,327.0,Bottom 6,48,562.68333333333,5,1,44,1981-06-17,USA,USA,72,211,2000,5,1,131
2012-2013,Matt Kassian,OTT,F,380.0,61.0,,,347.0,43.0,390.0,188.0,30.0,433.0,298.0,5.0,,425.0,Fringe,15,95.716666666667,1,0,38,1986-10-28,CAN,CAN,76,240,2005,2,27,57
2012-2013,Matt Martin,NYI,F,343.0,259.0,,124.0,386.0,279.0,199.0,358.0,233.0,235.0,264.0,3.0,,310.0,Bottom 6,48,571.51666666667,4,7,36,1989-05-08,CAN,CAN,75,220,2008,5,27,148
2012-2013,Matt Moulson,NYI,F,53.0,318.0,3.0,,56.0,368.0,54.0,36.0,34.0,32.0,52.0,387.0,,24.0,First Line,47,900.31666666667,15,20,41,1983-11-01,CAN,CAN,73,188,2003,9,2,263
2012-2013,Matt Read,PHI,F,129.0,291.0,176.0,97.0,272.0,353.0,288.0,99.0,318.0,256.0,128.0,279.0,182.0,130.0,First Line,42,756.73333333333,11,7,39,1986-06-14,CAN,CAN,70,188,-,-,-,-
2012-2013,Matt Stajan,CGY,F,269.0,112.0,275.0,165.0,153.0,86.0,403.0,334.0,243.0,133.0,127.0,257.0,85.0,249.0,Second Line,43,737.96666666667,5,11,41,1983-12-19,CAN,CAN,73,195,2002,2,27,57
2012-2013,Matthew Lombardi,"ANA, PHX",F,292.0,379.0,238.0,198.0,292.0,409.0,248.0,286.0,99.0,342.0,378.0,267.0,118.0,273.0,Bottom 6,28,390.93333333333,4,2,43,1982-03-18,CAN,CAN,71,195,2002,3,27,90
2012-2013,Max Pacioretty,MTL,F,3.0,105.0,46.0,,21.0,103.0,2.0,17.0,81.0,41.0,113.0,204.0,,20.0,Second Line,44,726.41666666667,15,13,36,1988-11-20,USA,USA,74,217,2007,1,22,22
2012-2013,Max Talbot,PHI,F,245.0,294.0,,12.0,205.0,269.0,376.0,231.0,401.0,310.0,145.0,151.0,89.0,246.0,Bottom 6,35,540.11666666667,5,3,41,1984-02-11,CAN,CAN,71,186,2002,8,5,234
2012-2013,Maxim Lapierre,VAN,F,352.0,340.0,,129.0,424.0,309.0,276.0,333.0,432.0,322.0,367.0,30.0,58.0,343.0,Bottom 6,48,604.58333333333,4,5,40,1985-03-29,CAN,CAN,74,215,2003,2,31,61
2012-2013,Michael Frolik,CHI,F,188.0,15.0,273.0,115.0,243.0,54.0,28.0,377.0,330.0,282.0,157.0,276.0,,222.0,Bottom 6,45,563.3,3,3,37,1988-02-17,CZE,CZE,73,186,2006,1,10,10
2012-2013,Michael Grabner,NYI,F,43.0,395.0,266.0,20.0,244.0,404.0,46.0,12.0,323.0,343.0,77.0,415.0,,120.0,Bottom 6,45,665.71666666667,16,3,37,1987-10-05,AUT,AUT,73,188,2006,1,14,14
2012-2013,Michael Ryder,"DAL, MTL",F,88.0,175.0,29.0,,206.0,193.0,88.0,14.0,72.0,130.0,249.0,287.0,,66.0,Second Line,46,738.23333333333,16,8,45,1980-03-31,CAN,CAN,73,200,1998,8,16,216
2012-2013,Michal Handzus,"CHI, SJS",F,327.0,94.0,227.0,32.0,270.0,120.0,389.0,378.0,271.0,212.0,285.0,277.0,33.0,287.0,Bottom 6,39,512.25,2,4,48,1977-03-11,SVK,SVK,77,215,1995,4,23,101
2012-2013,Mika Zibanejad,OTT,F,179.0,106.0,181.0,,75.0,173.0,76.0,239.0,13.0,169.0,238.0,122.0,141.0,190.0,Bottom 6,42,569.78333333333,7,6,32,1993-04-18,SWE,SWE,74,202,2011,1,6,6
2012-2013,Mikael Backlund,CGY,F,133.0,81.0,224.0,213.0,136.0,114.0,37.0,195.0,376.0,298.0,102.0,289.0,102.0,158.0,Bottom 6,32,483.98333333333,8,3,36,1989-03-17,SWE,SWE,72,206,2007,1,24,24
2012-2013,Mikael Granlund,MIN,F,363.0,328.0,200.0,,405.0,329.0,327.0,391.0,157.0,202.0,385.0,340.0,140.0,323.0,Bottom 6,27,355.81666666667,2,4,33,1992-02-26,FIN,FIN,70,185,2010,1,9,9
2012-2013,Mike Brown,"EDM, TOR",F,424.0,219.0,,212.0,432.0,256.0,317.0,408.0,220.0,403.0,389.0,12.0,,407.0,Fringe,39,293.28333333333,1,1,40,1985-06-24,USA,USA,71,205,2004,5,30,159
2012-2013,Mike Cammalleri,CGY,F,153.0,272.0,36.0,,268.0,201.0,102.0,75.0,284.0,89.0,163.0,413.0,150.0,79.0,First Line,44,794.45,13,13,43,1982-06-08,CAN,CAN,69,185,2001,2,19,49
2012-2013,Mike Fisher,NSH,F,262.0,51.0,128.0,14.0,379.0,196.0,265.0,120.0,380.0,225.0,257.0,197.0,82.0,86.0,First Line,38,739.55,10,7,45,1980-06-05,CAN,CAN,73,216,1998,2,17,44
2012-2013,Mike Knuble,PHI,F,299.0,280.0,162.0,164.0,274.0,300.0,310.0,262.0,244.0,280.0,401.0,232.0,,271.0,Bottom 6,28,361.75,4,3,53,1972-07-04,CAN,USA,75,229,1991,4,10,76
2012-2013,Mike Ribeiro,WSH,F,185.0,307.0,33.0,178.0,193.0,324.0,365.0,142.0,221.0,13.0,304.0,238.0,107.0,57.0,Second Line,48,856.0,13,20,45,1980-02-10,CAN,CAN,72,179,1998,2,18,45
2012-2013,Mike Richards,LAK,F,212.0,204.0,38.0,58.0,135.0,218.0,188.0,131.0,144.0,68.0,221.0,220.0,71.0,100.0,Second Line,48,784.93333333333,12,12,40,1985-02-11,CAN,CAN,71,196,2003,1,24,24
2012-2013,Mike Rupp,"MIN, NYR",F,405.0,95.0,274.0,,414.0,55.0,363.0,356.0,389.0,377.0,392.0,40.0,,412.0,Fringe,40,334.26666666667,1,2,45,1980-01-13,USA,USA,77,235,2000,3,11,76
2012-2013,Mike Santorelli,"FLA, WPG",F,295.0,267.0,236.0,225.0,209.0,195.0,170.0,301.0,178.0,375.0,181.0,319.0,169.0,320.0,Bottom 6,34,403.43333333333,2,2,39,1985-12-14,CAN,CAN,72,189,2004,6,15,178
2012-2013,Mikhail Grabovski,TOR,F,97.0,384.0,154.0,216.0,132.0,362.0,154.0,112.0,375.0,200.0,115.0,320.0,62.0,142.0,Second Line,48,747.36666666667,9,3,41,1984-01-31,DEU,BLR,71,186,2004,5,21,150
2012-2013,Mikhail Grigorenko,BUF,F,319.0,434.0,,,377.0,427.0,224.0,419.0,26.0,193.0,296.0,436.0,146.0,388.0,Bottom 6,25,255.88333333333,1,3,31,1994-05-16,RUS,RUS,75,206,2012,1,12,12
2012-2013,Mikkel Boedker,PHX,F,264.0,359.0,213.0,163.0,114.0,352.0,339.0,297.0,96.0,206.0,25.0,187.0,,241.0,First Line,48,886.88333333333,7,7,35,1989-12-16,DNK,DNK,72,207,2008,1,8,8
2012-2013,Mikko Koivu,MIN,F,219.0,65.0,69.0,61.0,122.0,38.0,158.0,234.0,56.0,44.0,218.0,301.0,30.0,60.0,First Line,48,1012.65,11,13,42,1983-03-12,FIN,FIN,75,213,2001,1,6,6
2012-2013,Milan Hejduk,COL,F,244.0,383.0,87.0,,174.0,358.0,205.0,216.0,125.0,115.0,153.0,419.0,,189.0,Bottom 6,29,381.11666666667,4,5,49,1976-02-14,CZE,CZE,72,190,1994,4,9,87
2012-2013,Milan Lucic,BOS,F,50.0,250.0,146.0,,9.0,110.0,231.0,124.0,108.0,52.0,396.0,75.0,,124.0,Second Line,46,777.95,7,12,37,1988-06-07,CAN,CAN,75,240,2006,2,20,50
2012-2013,Milan Michalek,OTT,F,81.0,198.0,135.0,187.0,60.0,253.0,87.0,119.0,8.0,159.0,222.0,402.0,,67.0,First Line,23,418.4,4,4,40,1984-12-07,CZE,CZE,74,225,2003,1,6,6
2012-2013,Nail Yakupov,EDM,F,178.0,436.0,183.0,,403.0,436.0,245.0,11.0,275.0,112.0,404.0,285.0,,160.0,Bottom 6,48,698.96666666667,17,10,31,1993-10-06,RUS,RUS,71,195,2012,1,1,1
2012-2013,Nate Thompson,TBL,F,274.0,110.0,,80.0,354.0,160.0,343.0,272.0,412.0,344.0,184.0,146.0,55.0,262.0,Bottom 6,45,645.18333333333,7,5,40,1984-10-05,USA,USA,73,205,2003,6,16,183
2012-2013,Nathan Gerbe,BUF,F,222.0,377.0,221.0,,359.0,331.0,86.0,275.0,283.0,201.0,92.0,263.0,,239.0,Bottom 6,42,525.16666666667,5,3,38,1987-07-24,USA,USA,64,176,2005,5,17,142
2012-2013,Nathan Horton,BOS,F,26.0,246.0,139.0,,14.0,135.0,93.0,27.0,65.0,204.0,324.0,283.0,,107.0,Second Line,43,724.78333333333,13,4,40,1985-05-29,CAN,CAN,74,188,2003,1,3,3
2012-2013,Nazem Kadri,TOR,F,32.0,348.0,216.0,,139.0,268.0,163.0,37.0,218.0,27.0,1.0,229.0,155.0,127.0,Second Line,48,770.5,18,21,34,1990-10-06,CAN,CAN,72,185,2009,1,7,7
2012-2013,Nick Bonino,ANA,F,302.0,43.0,226.0,,288.0,355.0,329.0,303.0,70.0,154.0,148.0,367.0,105.0,206.0,Second Line,27,428.93333333333,5,7,37,1988-04-20,USA,USA,73,195,2007,6,22,173
2012-2013,Nick Foligno,CBJ,F,268.0,90.0,163.0,,262.0,112.0,261.0,269.0,202.0,141.0,203.0,98.0,,186.0,Second Line,45,743.6,6,7,37,1987-10-31,USA,USA,72,210,2006,1,28,28
2012-2013,Nick Johnson,PHX,F,132.0,217.0,,,251.0,175.0,142.0,108.0,296.0,145.0,74.0,264.0,,282.0,Bottom 6,17,169.25,4,2,39,1985-12-24,CAN,CAN,74,200,2004,3,2,67
2012-2013,Nick Spaling,NSH,F,374.0,209.0,,71.0,416.0,174.0,382.0,260.0,361.0,394.0,147.0,322.0,81.0,294.0,Second Line,47,745.43333333333,9,3,36,1988-09-19,CAN,CAN,73,198,2007,2,28,58
2012-2013,Nicklas Backstrom,WSH,F,139.0,104.0,51.0,153.0,83.0,157.0,273.0,192.0,241.0,15.0,248.0,345.0,49.0,36.0,First Line,48,955.23333333333,8,17,37,1987-11-23,SWE,SWE,73,202,2006,1,4,4
2012-2013,Nik Antropov,WPG,F,199.0,292.0,137.0,201.0,109.0,334.0,358.0,209.0,94.0,121.0,310.0,177.0,106.0,194.0,Second Line,40,638.26666666667,6,8,45,1980-02-18,KAZ,KAZ,78,245,1998,1,10,10
2012-2013,Nikolay Kulemin,TOR,F,218.0,290.0,264.0,7.0,199.0,384.0,290.0,277.0,359.0,148.0,165.0,144.0,,176.0,Second Line,48,803.41666666667,7,11,39,1986-07-14,RUS,RUS,73,228,2006,2,14,44
2012-2013,Olli Jokinen,WPG,F,290.0,284.0,93.0,,222.0,287.0,134.0,221.0,299.0,183.0,197.0,225.0,99.0,126.0,Second Line,45,770.71666666667,7,3,46,1978-12-05,FIN,FIN,74,210,1997,1,3,3
2012-2013,Ondrej Palat,TBL,F,336.0,389.0,,,344.0,349.0,340.0,217.0,405.0,423.0,323.0,89.0,,362.0,Bottom 6,14,164.26666666667,2,0,34,1991-03-28,CZE,CZE,72,194,2011,7,27,208
2012-2013,PA Parenteau,COL,F,102.0,392.0,45.0,,44.0,380.0,240.0,79.0,115.0,29.0,320.0,252.0,,64.0,First Line,48,919.03333333333,18,15,42,1983-03-24,CAN,CAN,72,200,2001,9,5,264
2012-2013,Pascal Dupuis,PIT,F,16.0,196.0,223.0,8.0,63.0,231.0,42.0,28.0,247.0,156.0,341.0,189.0,,54.0,Second Line,48,840.33333333333,20,6,46,1979-04-07,CAN,CAN,73,205,-,-,-,-
2012-2013,Patric Hornqvist,NSH,F,123.0,38.0,54.0,,269.0,23.0,3.0,110.0,86.0,182.0,62.0,248.0,,62.0,Second Line,24,389.4,4,3,38,1987-01-01,SWE,SWE,71,189,2005,7,36,230
2012-2013,Patrice Bergeron,BOS,F,33.0,19.0,79.0,13.0,11.0,32.0,83.0,157.0,415.0,37.0,94.0,337.0,1.0,49.0,First Line,42,810.36666666667,10,11,40,1985-07-24,CAN,CAN,73,196,2003,2,15,45
2012-2013,Patrick Bordeleau,COL,F,407.0,405.0,,,401.0,378.0,393.0,371.0,79.0,376.0,435.0,4.0,,429.0,Fringe,46,286.21666666667,2,1,39,1986-03-23,CAN,CAN,78,225,2004,4,16,114
2012-2013,Patrick Dwyer,CAR,F,231.0,365.0,,84.0,104.0,405.0,180.0,317.0,348.0,306.0,34.0,169.0,,232.0,Bottom 6,46,709.85,8,6,42,1983-06-22,USA,USA,71,175,2002,4,20,116
2012-2013,Patrick Eaves,DET,F,162.0,195.0,,196.0,160.0,184.0,161.0,270.0,185.0,261.0,301.0,152.0,,302.0,Bottom 6,34,359.8,2,4,41,1984-05-01,CAN,USA,70,203,2003,1,29,29
2012-2013,Patrick Kaleta,BUF,F,410.0,50.0,,128.0,372.0,100.0,331.0,398.0,307.0,421.0,2.0,32.0,,359.0,Bottom 6,34,366.93333333333,1,0,39,1986-06-08,USA,USA,73,198,2004,6,13,176
2012-2013,Patrick Kane,CHI,F,31.0,187.0,64.0,,127.0,138.0,64.0,29.0,16.0,11.0,31.0,433.0,188.0,18.0,First Line,47,942.63333333333,23,24,36,1988-11-19,USA,USA,70,177,2007,1,1,1
2012-2013,Patrick Marleau,SJS,F,90.0,202.0,6.0,63.0,55.0,85.0,45.0,43.0,259.0,203.0,229.0,310.0,66.0,42.0,First Line,48,917.31666666667,17,5,45,1979-09-15,CAN,CAN,74,215,1997,1,2,2
2012-2013,Patrick Maroon,ANA,F,93.0,45.0,,,361.0,254.0,65.0,144.0,17.0,233.0,114.0,79.0,,299.0,Bottom 6,13,127.21666666667,2,1,37,1988-04-23,USA,USA,75,234,2007,6,10,161
2012-2013,Patrick Sharp,CHI,F,28.0,194.0,96.0,169.0,105.0,131.0,14.0,62.0,20.0,43.0,57.0,296.0,162.0,26.0,First Line,28,527.2,6,9,43,1981-12-27,CAN,CAN,73,200,2001,3,32,95
2012-2013,Patrik Berglund,STL,F,275.0,163.0,74.0,116.0,320.0,118.0,235.0,51.0,118.0,264.0,200.0,246.0,98.0,137.0,Second Line,48,807.76666666667,17,5,37,1988-06-02,SWE,SWE,76,215,2006,1,25,25
2012-2013,Patrik Elias,NJD,F,111.0,16.0,73.0,4.0,167.0,5.0,167.0,92.0,200.0,33.0,116.0,377.0,103.0,61.0,First Line,48,898.53333333333,14,14,49,1976-04-13,CZE,CZE,73,190,1994,2,25,51
2012-2013,Paul Bissonnette,PHX,F,377.0,33.0,,,172.0,18.0,378.0,424.0,5.0,217.0,71.0,7.0,,423.0,Fringe,28,151.88333333333,0,3,40,1985-03-11,CAN,CAN,74,216,2003,4,20,121
2012-2013,Paul Gaustad,NSH,F,366.0,87.0,271.0,43.0,349.0,76.0,353.0,357.0,436.0,350.0,391.0,149.0,2.0,277.0,Bottom 6,23,350.1,2,1,43,1982-02-03,USA,USA,77,227,2000,7,23,220
2012-2013,Paul Stastny,COL,F,215.0,245.0,35.0,151.0,131.0,322.0,192.0,170.0,365.0,136.0,213.0,372.0,25.0,84.0,First Line,40,774.26666666667,9,5,39,1985-12-27,CAN,USA,72,193,2005,2,14,44
2012-2013,Pavel Datsyuk,DET,F,82.0,1.0,14.0,118.0,43.0,10.0,172.0,82.0,111.0,17.0,56.0,326.0,15.0,27.0,First Line,47,948.51666666667,15,18,47,1978-07-20,RUS,RUS,71,188,1998,6,26,171
2012-2013,Peter Holland,ANA,F,335.0,263.0,,,257.0,263.0,287.0,226.0,114.0,320.0,402.0,262.0,145.0,336.0,Bottom 6,21,243.38333333333,3,2,34,1991-01-14,CAN,CAN,74,193,2009,1,15,15
2012-2013,Peter Mueller,FLA,F,63.0,394.0,237.0,,52.0,410.0,21.0,191.0,158.0,96.0,397.0,354.0,,141.0,Second Line,43,699.26666666667,8,7,37,1988-04-14,USA,USA,74,204,2006,1,8,8
2012-2013,Peter Regin,OTT,F,339.0,96.0,,156.0,123.0,108.0,212.0,430.0,231.0,271.0,232.0,341.0,126.0,348.0,Bottom 6,27,310.98333333333,0,2,39,1986-04-16,DNK,DNK,74,190,2004,3,22,87
2012-2013,Phil Kessel,TOR,F,13.0,435.0,18.0,,118.0,429.0,13.0,19.0,211.0,14.0,104.0,432.0,,5.0,First Line,48,950.88333333333,20,23,37,1987-10-02,USA,USA,71,208,2006,1,5,5
2012-2013,Pierre-Cedric Labrie,TBL,F,326.0,184.0,,,358.0,164.0,302.0,229.0,397.0,389.0,429.0,25.0,,396.0,Bottom 6,19,162.6,2,1,38,1986-12-06,CAN,CAN,75,226,-,-,-,-
2012-2013,Pierre-Marc Bouchard,MIN,F,146.0,214.0,155.0,,170.0,115.0,168.0,139.0,214.0,181.0,99.0,426.0,,175.0,Bottom 6,43,599.53333333333,8,5,41,1984-04-27,CAN,CAN,70,168,2002,1,8,8
2012-2013,Quinton Howden,FLA,F,417.0,108.0,,,181.0,226.0,254.0,435.0,306.0,434.0,39.0,174.0,,414.0,Bottom 6,18,188.2,0,0,33,1992-01-21,CAN,CAN,74,189,2010,1,25,25
2012-2013,R.J. Umberger,CBJ,F,255.0,83.0,153.0,40.0,339.0,205.0,157.0,203.0,248.0,258.0,44.0,254.0,185.0,108.0,First Line,48,887.46666666667,8,5,43,1982-05-03,USA,USA,74,214,2001,1,16,16
2012-2013,Radim Vrbata,PHX,F,30.0,380.0,67.0,200.0,91.0,373.0,26.0,24.0,68.0,66.0,333.0,334.0,,38.0,First Line,34,622.51666666667,12,10,44,1981-06-13,CZE,CZE,73,194,1999,7,26,212
2012-2013,Raffi Torres,"PHX, SJS",F,127.0,309.0,160.0,,149.0,273.0,222.0,116.0,104.0,224.0,281.0,80.0,,243.0,Bottom 6,39,517.51666666667,7,6,43,1981-10-08,CAN,CAN,72,215,2000,1,5,5
2012-2013,Ray Whitney,DAL,F,64.0,324.0,62.0,,73.0,255.0,211.0,70.0,110.0,18.0,70.0,417.0,,56.0,First Line,32,620.66666666667,11,9,53,1972-05-08,CAN,CAN,70,180,1991,2,1,23
2012-2013,Reilly Smith,DAL,F,307.0,337.0,202.0,,259.0,233.0,379.0,366.0,195.0,227.0,193.0,330.0,,387.0,Bottom 6,37,403.93333333333,3,4,34,1991-04-01,CAN,CAN,73,185,2009,3,8,69
2012-2013,Rene Bourque,MTL,F,201.0,283.0,147.0,170.0,301.0,214.0,97.0,109.0,184.0,292.0,272.0,222.0,,146.0,Second Line,27,440.91666666667,7,4,43,1981-12-10,CAN,CAN,74,217,-,-,-,-
2012-2013,Rich Clune,NSH,F,359.0,317.0,,,299.0,219.0,311.0,318.0,312.0,332.0,423.0,6.0,,395.0,Bottom 6,47,442.06666666667,4,3,38,1987-04-25,CAN,CAN,70,207,2005,3,10,71
2012-2013,Rich Peverley,BOS,F,176.0,258.0,109.0,55.0,169.0,207.0,139.0,280.0,340.0,139.0,278.0,385.0,19.0,147.0,Bottom 6,47,717.11666666667,6,5,43,1982-07-08,CAN,CAN,71,195,-,-,-,-
2012-2013,Richard Panik,TBL,F,203.0,231.0,,,125.0,359.0,249.0,80.0,417.0,317.0,46.0,137.0,,270.0,Bottom 6,25,283.21666666667,5,2,34,1991-02-07,SVK,SVK,73,203,2009,2,22,52
2012-2013,Rick Nash,NYR,F,6.0,321.0,80.0,,92.0,328.0,5.0,13.0,25.0,75.0,64.0,272.0,,7.0,First Line,44,878.7,21,12,41,1984-06-16,CAN,CAN,76,211,2002,1,1,1
